

{'PCSS1': ['2025-07-09T14:20:03Z', 0.0]}
{'PCSS1': ['2025-07-09T14:25:18Z', 0.0]}
{'PCSS1': ['2025-07-09T14:30:12Z', 0.0]}
{'PCSS1': ['2025-07-10T11:16:07Z', 0.0]}
{'PCSS1': ['2025-07-10T11:20:19Z', 0.0]}
{'PCSS1': ['2025-07-10T11:24:10Z', 0.0]}
{'PCSS1': ['2025-07-10T11:26:16Z', 0.0]}
{'PCSS1': ['2025-07-10T11:28:01Z', 0.0]}
{'PCSS1': ['2025-07-10T11:30:07Z', 0.0]}
{'PCSS1': ['2025-07-10T11:32:13Z', 0.0]}
{'PCSS1': ['2025-07-10T13:00:04Z', 0.0]}
{'PCSS1': ['2025-07-10T13:02:10Z', 0.0]}
{'PCSS1': ['2025-07-10T13:04:16Z', 0.0]}
{'PCSS1': ['2025-07-10T13:06:01Z', 0.16]}
{'PCSS1': ['13:07:04Z', '0.0000000U,0.0000000U']}
{'PCSS1': ['2025-07-10T13:08:07Z', 0.0]}
{'PCSS1': ['2025-07-10T13:10:13Z', 0.0]}
{'PCSS1': ['2025-07-10T13:12:19Z', 0.0]}
{'PCSS1': ['2025-07-10T13:14:04Z', 0.0]}
{'PCSS1': ['2025-07-10T13:16:10Z', 0.0]}
{'PCSS1': ['2025-07-10T13:18:16Z', 0.0]}
{'PCSS1': ['2025-07-10T13:20:01Z', 0.0]}
{'PCSS1': ['2025-07-10T13:22:07Z', 0.0]}
{'PCSS1': ['2025-07-10T13:24:13Z', 0.0]}
{'PCSS1': ['2025-07-10T13:26:19Z', 0.0]}
{'PCSS1': ['2025-07-10T13:28:04Z', 0.0]}
{'PCSS1': ['2025-07-10T13:30:10Z', 0.0]}
{'PCSS1': ['2025-07-10T13:32:16Z', 0.0]}
{'PCSS1': ['2025-07-10T13:34:01Z', 0.0]}
{'PCSS1': ['2025-07-10T13:36:07Z', 0.0]}
{'PCSS1': ['2025-07-10T13:38:13Z', 0.0]}
{'PCSS1': ['2025-07-10T13:40:19Z', 0.0]}
{'PCSS1': ['2025-07-10T14:20:13Z', 0.16]}
{'PCSS1': ['2025-07-10T14:22:19Z', 0.0]}
{'PCSS1': ['2025-07-10T14:24:04Z', 0.0]}
{'PCSS1': ['2025-07-11T12:55:09Z', 0.0]}
{'PCSS1': ['2025-07-11T13:00:03Z', 0.0]}
{'PCSS1': ['2025-07-11T13:05:18Z', 0.0]}
{'PCSS1': ['2025-07-11T13:10:12Z', 0.0]}
{'PCSS1': ['2025-07-11T14:35:15Z', 0.16]}
{'PCSS1': {'ID': 'PCSS1', 'T': '2025-07-09T10:51:04Z', 'F': 0.0}}
{'ID': 'PCSS1', 'T': '2025-07-09T10:51:04Z', 'F': 0.0}
